Время измерения;Температура
12.05.2019 04:00;3.5
12.05.2019 07:00;3.2
12.05.2019 10:00;6.7
12.05.2019 13:00;7.8
12.05.2019 16:00;6.9
12.05.2019 19:00;5.0
12.05.2019 22:00;3.5
13.05.2019 01:00;1.9
13.05.2019 04:00;0.5
13.05.2019 07:00;0.3
13.05.2019 10:00;2.0
13.05.2019 13:00;3.9
13.05.2019 16:00;5.1
13.05.2019 19:00;5.2
13.05.2019 22:00;3.0
14.05.2019 01:00;-1.3
14.05.2019 04:00;-2.3
14.05.2019 07:00;-0.8
14.05.2019 10:00;5.1
14.05.2019 13:00;7.0
14.05.2019 16:00;1.7
14.05.2019 19:00;5.3
14.05.2019 22:00;1.4
15.05.2019 01:00;1.4
15.05.2019 04:00;0.1
15.05.2019 07:00;0.8
15.05.2019 10:00;5.4
15.05.2019 13:00;5.6
15.05.2019 16:00;8.7
15.05.2019 19:00;5.5
15.05.2019 22:00;3.4
16.05.2019 01:00;2.4
16.05.2019 04:00;1.4
16.05.2019 07:00;1.3
16.05.2019 10:00;6.5
16.05.2019 13:00;9.7
16.05.2019 16:00;12.4
16.05.2019 19:00;10.0
