Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-06 08:09:00+00;1;15407AMK-03;28;-18.59;2.93;34.05;0.48;5.2;-0.21;756.58;100;-18.59;1.42;1.13;1.3778;320.24
2018-01-06 08:54:00+00;1;15407AMK-03;28;-18.16;3.81;14.64;1.89;5.62;-0.08;756.54;100;-18.16;1.47;1.17;1.3754;320.51
2018-01-06 09:40:00+00;1;15407AMK-03;28;-17.9;4.57;14.6;1.3;7.31;0.02;756.54;100;-17.9;1.5;1.19;1.374;320.68
2018-01-06 10:25:00+00;1;15407AMK-03;28;-17.64;4.37;16.24;1.54;6.88;0.1;756.65;100;-17.64;1.54;1.22;1.3727;320.84
2018-01-06 11:11:00+00;1;15407AMK-03;28;-17.56;3.24;14.6;1.2;5.74;-0.22;756.74;100;-17.56;1.55;1.23;1.3725;320.89
2018-01-06 11:56:00+00;1;15407AMK-03;28;-17.51;3.35;15.89;1.97;5.21;0.18;756.65;100;-17.51;1.55;1.24;1.372;320.93
2018-01-06 12:42:00+00;1;15407AMK-03;28;-17.3;2.59;36.17;0.94;5.3;-0.28;756.68;100;-17.3;1.58;1.26;1.3709;321.06
2018-01-06 13:27:00+00;1;15407AMK-03;28;-16.94;3.1;27.32;1.44;5.3;0.05;756.68;100;-16.94;1.63;1.3;1.369;321.29
2018-01-06 14:13:00+00;1;15407AMK-03;28;-16.67;2.14;24.61;0.99;4.03;0.14;756.64;100;-16.67;1.67;1.33;1.3674;321.46
2018-01-06 14:58:00+00;1;15407AMK-03;28;-16.31;3.45;49.72;1.4;5.53;-0.28;756.67;100;-16.31;1.72;1.37;1.3656;321.69
2018-01-06 15:44:00+00;1;15407AMK-03;28;-16.14;3.88;50.13;2.17;6.06;0.33;756.64;100;-16.14;1.74;1.39;1.3646;321.79
2018-01-06 16:29:00+00;1;15407AMK-03;28;-16.1;3.51;51.68;2.33;5.1;-0.1;756.64;100;-16.1;1.75;1.39;1.3644;321.82
2018-01-06 17:15:00+00;1;15407AMK-03;28;-16.05;3.18;55.44;1.58;4.51;0;756.66;100;-16.05;1.76;1.4;1.3642;321.85
2018-01-06 18:00:00+00;1;15407AMK-03;28;-16.04;1.73;39.97;0.54;2.86;0.59;756.69;100;-16.04;1.76;1.4;1.3641;321.86
2018-01-06 18:46:00+00;1;15407AMK-03;28;-16.21;1.93;17.93;0.5;3.32;0.25;756.63;100;-16.21;1.73;1.38;1.365;321.75
2018-01-06 19:31:00+00;1;15407AMK-03;28;-16.22;2.84;41.66;1.87;4.14;0.33;756.67;100;-16.22;1.73;1.38;1.3651;321.74
2018-01-06 20:17:00+00;1;15407AMK-03;28;-16.43;2.37;53.06;1.15;5.66;0.32;756.62;100;-16.43;1.7;1.35;1.3661;321.61
2018-01-06 21:02:00+00;1;15407AMK-03;28;-16.52;5.09;28.49;1.8;9.01;-0.2;756.54;100;-16.52;1.69;1.34;1.3664;321.55
2018-01-06 21:48:00+00;1;15407AMK-03;28;-17.17;2.37;32.3;0.96;3.8;0.11;756.4;100;-17.17;1.6;1.27;1.3697;321.14
2018-01-06 22:33:00+00;1;15407AMK-03;28;-17.38;3.33;32.19;1;5.41;0.25;756.3;100;-17.38;1.57;1.25;1.3707;321
2018-01-06 23:19:00+00;1;15407AMK-03;28;-17.57;3.36;21.56;1.45;5.73;0.05;756.31;100;-17.57;1.55;1.23;1.3717;320.89
2018-01-07 00:04:00+00;1;15407AMK-03;28;-17.84;4.22;29.62;1.83;6.7;-0.35;756.17;100;-17.84;1.51;1.2;1.373;320.71
2018-01-07 00:50:00+00;1;15407AMK-03;28;-17.86;3.61;20.13;1.16;5.82;-0.12;755.9;100;-17.86;1.51;1.2;1.3726;320.7
2018-01-07 01:35:00+00;1;15407AMK-03;28;-17.49;4.4;14.3;1.6;6.79;-0.23;755.66;100;-17.49;1.56;1.24;1.3701;320.94
2018-01-07 02:21:00+00;1;15407AMK-03;28;-17.4;2.75;32.12;0.69;5.03;-0.28;755.74;100;-17.4;1.57;1.25;1.3698;321
2018-01-07 03:06:00+00;1;15407AMK-03;28;-17.42;1.34;20.98;0.27;2.37;0.17;755.9;100;-17.42;1.57;1.25;1.3702;320.98
2018-01-07 03:52:00+00;1;15407AMK-03;28;-17;2.58;21.67;0.95;5.15;0.47;755.98;100;-17;1.62;1.29;1.368;321.25
2018-01-07 04:37:00+00;1;15407AMK-03;28;-16.81;3.24;39.16;1.9;4.55;0.08;755.99;100;-16.81;1.65;1.31;1.367;321.37
2018-01-07 05:23:00+00;1;15407AMK-03;28;-16.34;2.55;55.69;0.85;4.27;0.2;756;100;-16.34;1.71;1.36;1.3645;321.66
2018-01-07 06:08:00+00;1;15407AMK-03;28;-15.78;3.39;50.57;1.68;5.82;-0.19;755.81;97.16;-16.13;1.75;1.39;1.3612;322.02
2018-01-07 06:54:00+00;1;15407AMK-03;28;-15.26;3.8;44.44;2.11;6.13;0.25;755.74;92.9;-16.15;1.74;1.38;1.3583;322.34
2018-01-07 07:39:00+00;1;15407AMK-03;28;-14.75;2.63;58.2;1.17;4.16;0.56;755.8;84.08;-16.84;1.64;1.31;1.3558;322.66
2018-01-07 08:25:00+00;1;15407AMK-03;28;-14.62;2.47;30.54;1.26;4.49;0.37;756.06;92.13;-15.61;1.82;1.45;1.3555;322.75
2018-01-07 09:10:00+00;1;15407AMK-03;28;-14.28;3.29;33.22;1.63;6.58;0.72;756;94.46;-14.97;1.92;1.53;1.3535;322.97
2018-01-07 09:55:00+00;1;15407AMK-03;28;-14.14;5.42;45.3;3.69;7.59;0;756.28;95.81;-14.66;1.97;1.57;1.3533;323.06
2018-01-07 10:41:00+00;1;15407AMK-03;28;-13.94;3.93;53.88;1.97;6.45;0.24;756.43;95.63;-14.49;2;1.59;1.3525;323.18
2018-01-07 11:26:00+00;1;15407AMK-03;28;-13.86;4.49;41.63;2.48;6.51;-0.11;756.44;94.4;-14.57;1.98;1.58;1.3521;323.23
2018-01-07 12:12:00+00;1;15407AMK-03;28;-14.04;5.03;50.7;2.95;6.99;0;756.59;93.88;-14.81;1.95;1.55;1.3533;323.12
2018-01-07 12:57:00+00;1;15407AMK-03;28;-14.19;5.1;40.9;2.35;7.4;-0.12;756.64;93.4;-15.03;1.91;1.52;1.3542;323.02
2018-01-07 13:43:00+00;1;15407AMK-03;28;-14.1;4.3;51.13;1.3;6.55;0.05;756.65;93.49;-14.92;1.93;1.53;1.3538;323.08
2018-01-07 14:28:00+00;1;15407AMK-03;28;-14.23;4.14;37.62;1.8;6.34;-0.42;756.69;94.25;-14.95;1.92;1.53;1.3545;323
2018-01-07 15:14:00+00;1;15407AMK-03;28;-14.65;5.25;43.73;2.85;8.77;-0.81;756.7;96.66;-15.06;1.91;1.52;1.3567;322.73
2018-01-07 15:59:00+00;1;15407AMK-03;28;-14.88;4.02;43.56;2;6.95;0.34;756.73;98.48;-15.07;1.91;1.51;1.358;322.59
2018-01-07 16:45:00+00;1;15407AMK-03;28;-14.96;5.25;45.73;3.17;7.17;-0.26;756.79;98.39;-15.16;1.89;1.5;1.3585;322.54
2018-01-07 17:30:00+00;1;15407AMK-03;28;-15.25;4.95;49.57;1.75;8.07;0.61;757.06;96.8;-15.65;1.82;1.44;1.3606;322.35
2018-01-07 18:16:00+00;1;15407AMK-03;28;-15.61;3.82;51.01;1.97;6.57;0.42;757.14;98.89;-15.74;1.8;1.43;1.3626;322.13
2018-01-07 19:01:00+00;1;15407AMK-03;28;-16.13;4.24;46.86;1.38;7.29;-0.21;757.11;100;-16.13;1.74;1.39;1.3654;321.8
2018-01-07 19:47:00+00;1;15407AMK-03;28;-16.64;6.09;51.77;4.21;8.86;-0.4;757.08;100;-16.64;1.67;1.33;1.3681;321.48
2018-01-07 20:32:00+00;1;15407AMK-03;28;-16.93;5.15;42.65;2.61;7.44;-0.37;757.1;100;-16.93;1.63;1.3;1.3697;321.29
2018-01-07 21:18:00+00;1;15407AMK-03;28;-17.54;4.75;44.12;2.67;7.02;-0.31;757.06;100;-17.54;1.55;1.23;1.3729;320.91
2018-01-07 22:03:00+00;1;15407AMK-03;28;-18.08;4.97;44.12;3.13;7.48;-0.22;757;100;-18.08;1.48;1.18;1.3758;320.56
2018-01-07 22:49:00+00;1;15407AMK-03;28;-18.35;4.41;45.21;2.62;6.42;-0.63;757.02;100;-18.35;1.45;1.15;1.3773;320.39
2018-01-07 23:34:00+00;1;15407AMK-03;28;-18.44;3.63;38.77;1.56;5.91;-0.05;757.01;100;-18.44;1.44;1.14;1.3778;320.33
2018-01-08 00:20:00+00;1;15407AMK-03;28;-18.54;3.44;47.67;1.42;5.74;0.02;756.98;100;-18.54;1.42;1.13;1.3782;320.27
2018-01-08 01:05:00+00;1;15407AMK-03;28;-19.15;1.92;30.91;0.98;2.95;0.19;756.93;100;-19.15;1.35;1.07;1.3815;319.89
2018-01-08 01:51:00+00;1;15407AMK-03;28;-19.38;2.28;32.7;0.96;3.55;-0.21;756.91;100;-19.38;1.33;1.05;1.3827;319.74
2018-01-08 02:36:00+00;1;15407AMK-03;28;-19.38;2.01;30.63;1.24;3.06;0.02;756.91;100;-19.38;1.33;1.05;1.3827;319.74
2018-01-08 03:22:00+00;1;15407AMK-03;28;-19.36;3.24;20.84;2.1;4.64;-0.51;756.89;100;-19.36;1.33;1.06;1.3826;319.75
2018-01-08 04:07:00+00;1;15407AMK-03;28;-19.31;2.32;13.65;1.21;3.39;-0.03;756.99;90.96;-20.41;1.21;0.96;1.3826;319.78
2018-01-08 04:53:00+00;1;15407AMK-03;28;-18.69;3.37;16.79;1.68;6.43;0;757.03;89.8;-19.95;1.26;1;1.3793;320.17
2018-01-08 05:38:00+00;1;15407AMK-03;28;-17.8;1.19;6.79;0.24;2.5;0.28;757.09;75.52;-21.08;1.15;0.91;1.3746;320.72
2018-01-08 06:24:00+00;1;15407AMK-03;28;-16.98;2.36;19.73;1.34;3.57;0.06;757;70.36;-21.09;1.14;0.91;1.37;321.24
2018-01-08 07:09:00+00;1;15407AMK-03;28;-16.03;2.06;354.57;0.98;4.61;-0.07;756.8;62.52;-21.54;1.1;0.87;1.3647;321.83
2018-01-08 07:55:00+00;1;15407AMK-03;28;-15.29;2.64;355.71;1.23;4.44;-0.19;756.72;65.78;-20.25;1.23;0.98;1.3605;322.3
2018-01-08 08:40:00+00;1;15407AMK-03;28;-14.59;0.77;322.99;0.31;1.58;-0.12;756.58;59.44;-20.75;1.18;0.94;1.3566;322.74
2018-01-08 09:26:00+00;1;15407AMK-03;28;-14.53;1.37;309.8;0.27;2.7;-0.03;756.04;69.77;-18.84;1.39;1.1;1.3552;322.78
2018-01-08 10:11:00+00;1;15407AMK-03;28;-14.83;1.39;322.07;0.55;3.28;0.01;755.77;89.04;-16.23;1.73;1.38;1.3561;322.61
2018-01-08 10:57:00+00;1;15407AMK-03;28;-15.01;1.45;310.63;0.72;2.58;-0.01;755.31;93.11;-15.87;1.78;1.42;1.3562;322.5
2018-01-08 11:42:00+00;1;15407AMK-03;28;-14.82;1.85;315.68;0.79;3.22;-0.13;755.09;91.25;-15.93;1.77;1.41;1.3548;322.62
2018-01-08 12:28:00+00;1;15407AMK-03;28;-15.29;1.69;301.2;0.71;3.02;-0.24;754.56;95.46;-15.85;1.79;1.42;1.3563;322.33
2018-01-08 13:13:00+00;1;15407AMK-03;28;-14.85;2.03;282.16;0.78;3.71;-0.17;754.19;94.32;-15.56;1.83;1.45;1.3533;322.6
2018-01-08 13:58:00+00;1;15407AMK-03;28;-15;1.69;301.84;0.64;3.19;-0.01;753.87;90.23;-16.24;1.73;1.37;1.3536;322.51
2018-01-08 14:44:00+00;1;15407AMK-03;28;-15.36;1.47;301.17;0.09;2.91;-0.07;753.2;90.5;-16.56;1.68;1.34;1.3543;322.28
2018-01-08 15:29:00+00;1;15407AMK-03;28;-15.6;2.37;299.2;0.36;4.62;-0.01;752.79;91.41;-16.68;1.67;1.33;1.3548;322.13
2018-01-08 16:15:00+00;1;15407AMK-03;28;-15.08;1.8;297.33;0.61;2.72;-0.13;752.31;87.85;-16.64;1.67;1.33;1.3512;322.45
2018-01-08 17:00:00+00;1;15407AMK-03;28;-14.47;1.58;299.21;0.71;3.25;0;752.18;87.01;-16.15;1.74;1.38;1.3478;322.84
2018-01-08 17:46:00+00;1;15407AMK-03;28;-14.49;2.14;294.31;0.53;3.96;-0.11;751.68;83.85;-16.62;1.68;1.33;1.347;322.82
2018-01-08 18:31:00+00;1;15407AMK-03;28;-15.1;2.15;298.84;0.89;3.89;-0.22;751.2;89.19;-16.48;1.69;1.35;1.3494;322.44
2018-01-08 19:17:00+00;1;15407AMK-03;28;-14.92;1.75;303.4;0.69;3.18;-0.07;750.86;92.45;-15.87;1.78;1.42;1.3477;322.56
2018-01-08 20:02:00+00;1;15407AMK-03;28;-14.23;2.09;299.49;1.02;5.1;-0.14;750.56;93.2;-15.08;1.9;1.51;1.3435;323
2018-01-08 20:48:00+00;1;15407AMK-03;28;-14.41;2.14;312.7;0.99;3.47;-0.22;750.3;94.44;-15.1;1.9;1.51;1.344;322.89
2018-01-08 21:33:00+00;1;15407AMK-03;28;-13.23;2.34;329.4;0.69;4.47;-0.31;749.9;91.33;-14.35;2.02;1.61;1.3371;323.62
2018-01-08 22:19:00+00;1;15407AMK-03;28;-12.46;3.13;355.29;1.15;6.89;0.11;749.56;88.04;-14.03;2.07;1.65;1.3325;324.11
2018-01-08 23:04:00+00;1;15407AMK-03;28;-11.21;4.01;4.8;1.26;6.78;-0.27;749.34;77.88;-14.31;2.03;1.61;1.3258;324.88
2018-01-08 23:50:00+00;1;15407AMK-03;28;-11.44;3.79;6.47;1.3;7.33;0.07;749.05;77.97;-14.51;1.99;1.59;1.3265;324.74
2018-01-09 00:35:00+00;1;15407AMK-03;28;-11.49;2.95;7.37;0.8;5.12;0.12;748.85;80.16;-14.23;2.04;1.62;1.3264;324.71
2018-01-09 01:21:00+00;1;15407AMK-03;28;-11.93;2.17;341.3;0.71;5.2;0.27;748.83;81.91;-14.39;2.01;1.6;1.3286;324.43
2018-01-09 02:06:00+00;1;15407AMK-03;28;-11.71;4.3;354.08;1.02;8.09;0;748.83;80.77;-14.34;2.02;1.61;1.3274;324.57
2018-01-09 02:52:00+00;1;15407AMK-03;28;-11.82;3.52;6.93;1.59;6.2;0.05;748.83;80.34;-14.53;1.99;1.58;1.3281;324.5
2018-01-09 03:37:00+00;1;15407AMK-03;28;-12;4.61;0.4;1.25;7.46;-0.57;748.81;79.2;-14.87;1.94;1.54;1.3289;324.39
2018-01-09 04:23:00+00;1;15407AMK-03;28;-11.58;4.58;13.9;1.75;7.38;-0.04;748.84;76.69;-14.85;1.94;1.54;1.3268;324.65
2018-01-09 05:08:00+00;1;15407AMK-03;28;-10.89;4.54;6.15;2.28;7.6;-0.74;748.83;70.24;-15.25;1.88;1.49;1.3234;325.07
2018-01-09 05:54:00+00;1;15407AMK-03;28;-10.4;4.91;11.61;1.97;7.85;0;748.4;67.12;-15.33;1.86;1.48;1.3202;325.37
2018-01-09 06:39:00+00;1;15407AMK-03;28;-9.84;5.51;10.64;1.48;12.08;-0.5;748.08;67.81;-14.67;1.97;1.57;1.3167;325.73
2018-01-09 07:25:00+00;1;15407AMK-03;28;-9.92;4.47;7.44;1.03;8.38;-0.7;747.9;66.54;-14.98;1.92;1.53;1.3168;325.67
2018-01-09 08:10:00+00;1;15407AMK-03;28;-10.37;3.37;14.83;1.44;6.79;0.33;748.25;70.98;-14.62;1.98;1.57;1.3197;325.4
2018-01-09 08:56:00+00;1;15407AMK-03;28;-10.88;4.03;9.77;1.43;8.05;-0.04;748.31;74.9;-14.46;2;1.59;1.3223;325.09
2018-01-09 09:41:00+00;1;15407AMK-03;28;-11.21;2.43;348.27;0.02;4.4;-0.05;748.38;81.67;-13.72;2.13;1.69;1.3241;324.89
2018-01-09 10:27:00+00;1;15407AMK-03;28;-10.75;3.45;3.02;1.58;6.63;-0.17;748.33;79.97;-13.53;2.16;1.72;1.3216;325.18
2018-01-09 11:12:00+00;1;15407AMK-03;28;-10.36;2.91;352.97;1.15;6.26;0.14;747.88;82.1;-12.83;2.29;1.82;1.3188;325.42
2018-01-09 11:58:00+00;1;15407AMK-03;28;-10.32;4.78;13.77;2.89;7.08;-0.05;747.99;90.14;-11.63;2.52;2;1.3187;325.46
2018-01-09 12:43:00+00;1;15407AMK-03;28;-10.51;5.03;7.14;2.28;9.75;-0.05;748.17;100;-10.51;2.75;2.19;1.3198;325.35
2018-01-09 13:29:00+00;1;15407AMK-03;28;-10.21;5.08;10.9;1.9;9.99;0.2;748.69;100;-10.21;2.82;2.24;1.3192;325.54
2018-01-09 14:14:00+00;1;15407AMK-03;28;-9.71;5.62;13.99;1.89;9.23;-0.3;748.8;100;-9.71;2.93;2.33;1.3168;325.86
2018-01-09 15:00:00+00;1;15407AMK-03;28;-9.4;4.61;14.44;2.13;7.05;-0.13;748.86;100;-9.4;3.01;2.39;1.3153;326.05
2018-01-09 15:45:00+00;1;15407AMK-03;28;-9.21;3.81;9.62;1.81;6.45;-0.18;748.87;100;-9.21;3.05;2.43;1.3144;326.17
2018-01-09 16:31:00+00;1;15407AMK-03;28;-9.32;3.02;0.27;0.57;6.4;-0.13;748.87;100;-9.32;3.02;2.41;1.315;326.1
2018-01-09 17:16:00+00;1;15407AMK-03;28;-9.1;3.45;5.93;0.84;6.19;-0.17;748.87;100;-9.1;3.08;2.45;1.3138;326.24
2018-01-09 18:01:00+00;1;15407AMK-03;28;-8.78;2.79;355.58;0.98;6.79;0;748.88;100;-8.78;3.15;2.51;1.3122;326.44
2018-01-09 18:47:00+00;1;15407AMK-03;28;-8.6;1.38;4.87;0.11;3.55;0.5;748.87;100;-8.6;3.2;2.55;1.3113;326.56
2018-01-09 19:32:00+00;1;15407AMK-03;28;-7.66;3.19;13.97;0.93;6.64;0.04;748.86;100;-7.66;3.44;2.74;1.3065;327.15
2018-01-09 20:18:00+00;1;15407AMK-03;28;-7.31;4.4;2.02;1.26;8.21;-0.52;748.86;100;-7.31;3.54;2.82;1.3047;327.37
2018-01-09 21:03:00+00;1;15407AMK-03;28;-7.12;1.97;4.32;0.13;4.14;0.04;748.86;100;-7.12;3.59;2.86;1.3038;327.49
2018-01-09 21:49:00+00;1;15407AMK-03;28;-6.71;3.98;10.31;0.55;8.07;0.22;748.85;100;-6.71;3.7;2.95;1.3017;327.75
2018-01-09 22:34:00+00;1;15407AMK-03;28;-6.42;3.62;7.11;1.83;5.96;-0.39;748.85;100;-6.42;3.79;3.02;1.3002;327.93
2018-01-09 23:20:00+00;1;15407AMK-03;28;-6.24;3.24;21.4;1.48;6.42;-0.07;748.85;100;-6.24;3.84;3.06;1.2993;328.04
2018-01-10 00:05:00+00;1;15407AMK-03;28;-6.23;2.06;351.24;0.76;4.21;0.05;748.65;100;-6.23;3.84;3.06;1.2989;328.05
2018-01-10 00:51:00+00;1;15407AMK-03;28;-6.09;2.25;352.58;0.68;4.9;-0.46;748.11;100;-6.09;3.88;3.09;1.2972;328.14
2018-01-10 01:36:00+00;1;15407AMK-03;28;-5.91;2.35;352.81;0.28;4.67;0.27;747.92;100;-5.91;3.94;3.14;1.296;328.25
2018-01-10 02:22:00+00;1;15407AMK-03;28;-5.68;2.09;351.3;0.75;4.65;0.1;747.42;100;-5.68;4.01;3.19;1.294;328.4
2018-01-10 03:07:00+00;1;15407AMK-03;28;-5.29;2.37;347.92;0.41;4.81;0.03;747.23;100;-5.29;4.12;3.29;1.2917;328.64
2018-01-10 03:53:00+00;1;15407AMK-03;28;-5.02;1.33;347.02;0.19;3.23;-0.27;746.94;100;-5.02;4.21;3.36;1.2899;328.81
2018-01-10 04:38:00+00;1;15407AMK-03;28;-4.62;1.68;358.92;0.35;4.06;0.14;746.41;100;-4.62;4.34;3.46;1.287;329.06
2018-01-10 05:24:00+00;1;15407AMK-03;28;-4.11;2.72;358.09;0.7;5.97;0.33;746.22;100;-4.11;4.51;3.6;1.2841;329.39
2018-01-10 06:09:00+00;1;15407AMK-03;28;-3.7;3.76;12.04;1.57;11.31;0.34;745.88;100;-3.7;4.65;3.71;1.2815;329.64
2018-01-10 06:55:00+00;1;15407AMK-03;28;-3.58;5.41;23.51;2.48;8.4;-0.44;745.55;100;-3.58;4.69;3.74;1.2803;329.72
2018-01-10 07:40:00+00;1;15407AMK-03;28;-3.43;2.2;15.36;0.36;4.75;0.29;745.3;100;-3.43;4.75;3.78;1.2792;329.82
2018-01-10 08:26:00+00;1;15407AMK-03;28;-3.18;4.65;4.36;1.76;8.19;-0.21;745.21;100;-3.18;4.84;3.86;1.2778;329.97
2018-01-10 09:11:00+00;1;15407AMK-03;28;-3.07;3.34;10.01;1.03;6.39;0.44;745.22;100;-3.07;4.87;3.89;1.2773;330.04
2018-01-10 09:57:00+00;1;15407AMK-03;28;-3.06;4.4;14.6;2.34;7.19;-0.17;745.2;100;-3.06;4.88;3.89;1.2772;330.05
2018-01-10 10:42:00+00;1;15407AMK-03;28;-2.96;4.78;11.77;1.96;9.39;-0.25;745.15;100;-2.96;4.92;3.92;1.2766;330.11
2018-01-10 11:28:00+00;1;15407AMK-03;28;-2.79;4.74;12.42;3.29;7.07;-0.67;745.14;100;-2.79;4.98;3.97;1.2757;330.22
2018-01-10 12:13:00+00;1;15407AMK-03;28;-2.6;6.42;21.75;3.41;10.12;-0.11;744.81;100;-2.6;5.05;4.02;1.2742;330.34
2018-01-10 12:59:00+00;1;15407AMK-03;28;-2.7;4.67;14.27;1.88;10.07;-0.17;744.66;100;-2.7;5.01;4;1.2745;330.28
2018-01-10 13:44:00+00;1;15407AMK-03;28;-2.5;4.12;21.4;1.15;6.87;0.38;744.68;100;-2.5;5.09;4.06;1.2735;330.4
2018-01-10 14:30:00+00;1;15407AMK-03;28;-2.66;3.95;12.5;0.6;7.3;-0.6;744.56;100;-2.66;5.03;4.01;1.2741;330.3
2018-01-10 15:15:00+00;1;15407AMK-03;28;-2.54;4.6;27.19;2.03;7.4;-0.31;744.42;100;-2.54;5.07;4.04;1.2733;330.38
2018-01-10 16:01:00+00;1;15407AMK-03;28;-2.37;4.12;16.94;2.31;6.43;0.13;744.32;100;-2.37;5.13;4.09;1.2723;330.48
2018-01-10 16:46:00+00;1;15407AMK-03;28;-2.5;4.03;21.37;1.86;8.71;-0.31;744.27;100;-2.5;5.09;4.06;1.2728;330.4
2018-01-10 17:32:00+00;1;15407AMK-03;28;-2.46;3.84;19.36;1.64;6.4;0.32;743.93;100;-2.46;5.1;4.07;1.272;330.43
2018-01-10 18:17:00+00;1;15407AMK-03;28;-2.38;4;19.05;2.13;5.58;-0.47;743.73;100;-2.38;5.13;4.09;1.2713;330.47
2018-01-10 19:03:00+00;1;15407AMK-03;28;-2.43;3.64;3.88;0.48;7.79;-0.25;743.31;100;-2.43;5.11;4.08;1.2708;330.44
2018-01-10 19:48:00+00;1;15407AMK-03;28;-2.33;2.97;2.97;0.79;7.07;-0.07;742.86;100;-2.33;5.15;4.11;1.2696;330.51
2018-01-10 20:34:00+00;1;15407AMK-03;28;-2.33;2.51;5.87;1.01;5.04;-0.15;742.36;100;-2.33;5.15;4.11;1.2687;330.51
2018-01-10 21:19:00+00;1;15407AMK-03;28;-2.37;3.46;356.98;1.33;6.55;-0.24;742.11;100;-2.37;5.13;4.09;1.2685;330.48
2018-01-10 22:05:00+00;1;15407AMK-03;28;-2.38;3.87;11.33;1.54;6.56;0.04;741.51;100;-2.38;5.13;4.09;1.2675;330.48
2018-01-10 22:50:00+00;1;15407AMK-03;28;-2.3;3.49;15.01;1.58;5.95;0.2;741.29;100;-2.3;5.16;4.12;1.2667;330.53
2018-01-10 23:35:00+00;1;15407AMK-03;28;-2.13;4.55;15.13;2.29;7.49;-0.38;740.91;100;-2.13;5.22;4.17;1.2653;330.63
2018-01-11 00:21:00+00;1;15407AMK-03;28;-1.87;3.7;356.66;1.42;7.45;-0.18;740.64;100;-1.87;5.33;4.25;1.2635;330.8
2018-01-11 01:06:00+00;1;15407AMK-03;28;-1.59;4.39;2.34;1.27;8.7;-0.16;739.86;100;-1.59;5.44;4.34;1.2608;330.98
2018-01-11 01:52:00+00;1;15407AMK-03;28;-1.69;3.55;14.99;1.47;5.47;0.02;739.58;100;-1.69;5.4;4.31;1.2608;330.91
2018-01-11 02:37:00+00;1;15407AMK-03;28;-1.62;4.47;4.68;1.02;8.42;-0.12;739.13;100;-1.62;5.43;4.33;1.2597;330.96
2018-01-11 03:23:00+00;1;15407AMK-03;28;-1.39;4.12;357.59;0.78;10.33;-0.22;738.38;100;-1.39;5.52;4.4;1.2573;331.1
2018-01-11 04:08:00+00;1;15407AMK-03;28;-1.23;2.46;339.3;0.13;6.3;-0.26;737.34;100;-1.23;5.58;4.45;1.2548;331.2
2018-01-11 04:54:00+00;1;15407AMK-03;28;-0.87;4.11;355.72;1.52;6.85;-0.22;737.25;100;-0.87;5.73;4.57;1.2529;331.43
2018-01-11 05:39:00+00;1;15407AMK-03;28;-0.29;1.79;349.28;0.13;3.72;0.18;736.21;88.9;-1.9;5.32;4.24;1.2487;331.76
2018-01-11 06:25:00+00;1;15407AMK-03;28;0.66;3.83;356.92;0.25;9.28;0.11;735.52;76.12;-3.07;4.88;3.89;1.2434;332.32
2018-01-11 07:10:00+00;1;15407AMK-03;28;1.25;5.13;19.11;1.8;11.11;0.07;734.81;69.18;-3.77;4.62;3.69;1.2397;332.66
2018-01-11 07:56:00+00;1;15407AMK-03;28;0.99;4.85;13.44;0.73;9.63;0.04;734.44;70.73;-3.73;4.64;3.7;1.2402;332.51
2018-01-11 08:41:00+00;1;15407AMK-03;28;0.8;7.78;20.79;3.81;12.95;-0.58;734.34;72.33;-3.61;4.68;3.73;1.2409;332.39
2018-01-11 09:27:00+00;1;15407AMK-03;28;-0.55;3.86;29.49;0.76;8.28;0.57;735.34;94.74;-1.28;5.56;4.44;1.2482;331.62
2018-01-11 10:12:00+00;1;15407AMK-03;28;-1.27;4.85;27.28;1.13;9.09;-0.15;735.34;100;-1.27;5.57;4.44;1.2516;331.18
2018-01-11 10:58:00+00;1;15407AMK-03;28;-1.61;5.96;34.07;3.06;9.36;-0.18;735.4;100;-1.61;5.43;4.33;1.2533;330.97
2018-01-11 11:43:00+00;1;15407AMK-03;28;-1.47;9.48;25.72;2.77;15.25;-0.57;735.24;90.38;-2.84;4.96;3.95;1.2527;331.02
2018-01-11 12:29:00+00;1;15407AMK-03;28;-2.54;6.5;42.58;2.16;11.92;0.13;735.6;70.81;-7.11;3.59;2.86;1.2589;330.3
2018-01-11 13:14:00+00;1;15407AMK-03;28;-3.19;8.24;25.2;2.09;14.41;0.12;735.48;71.68;-7.58;3.46;2.76;1.2618;329.9
2018-01-11 14:00:00+00;1;15407AMK-03;28;-4.03;4.87;38.4;1.5;10.6;0.54;735.67;78.78;-7.17;3.57;2.85;1.2661;329.39
2018-01-11 14:45:00+00;1;15407AMK-03;28;-4.58;6.27;30.57;2.58;11.68;0.3;735.45;80.88;-7.36;3.52;2.8;1.2683;329.05
2018-01-11 15:31:00+00;1;15407AMK-03;28;-5.35;5.14;14.37;0.07;12.09;-0.11;735.18;92.81;-6.33;3.81;3.04;1.2713;328.59
