Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-02 13:56:00+00;1;15407AMK-03;28;-14.55;1.09;341.49;0.18;2.25;0.04;766.74;100;-14.55;1.99;1.58;1.3742;322.8
2018-01-02 14:42:00+00;1;15407AMK-03;28;-15.08;0.69;303.69;0.02;1.17;0.05;766.57;100;-15.08;1.9;1.51;1.3768;322.46
2018-01-02 15:27:00+00;1;15407AMK-03;28;-15.61;1.1;355.48;0.34;2.28;0.04;766.36;100;-15.61;1.82;1.45;1.3793;322.13
2018-01-02 16:12:00+00;1;15407AMK-03;28;-16.09;0.92;330.33;0.11;1.79;0.02;766.39;100;-16.09;1.75;1.39;1.3819;321.82
2018-01-02 16:58:00+00;1;15407AMK-03;28;-16.42;1.32;326.61;0.48;2.11;-0.08;766.36;100;-16.42;1.7;1.35;1.3836;321.62
2018-01-02 17:43:00+00;1;15407AMK-03;28;-17.15;1.37;335.84;0.33;2.56;0.05;766.21;100;-17.15;1.6;1.27;1.3874;321.15
2018-01-02 18:29:00+00;1;15407AMK-03;28;-18.67;1.02;282.56;0.47;1.94;-0.06;766;100;-18.67;1.41;1.12;1.3954;320.19
2018-01-02 19:14:00+00;1;15407AMK-03;28;-18.61;0.9;259.04;0.31;1.81;0.08;765.95;100;-18.61;1.42;1.13;1.395;320.23
2018-01-02 20:00:00+00;1;15407AMK-03;28;-18.85;1.21;283.38;0.52;2.01;0.11;765.88;100;-18.85;1.39;1.1;1.3962;320.07
2018-01-02 20:45:00+00;1;15407AMK-03;28;-19.69;1.45;284.78;0.51;2.34;0.01;765.83;100;-19.69;1.29;1.03;1.4008;319.54
2018-01-02 21:31:00+00;1;15407AMK-03;28;-20.2;1.64;283.74;0.44;3.35;0.14;765.78;100;-20.2;1.24;0.98;1.4036;319.21
2018-01-02 22:16:00+00;1;15407AMK-03;28;-19.02;1.14;275.84;0.7;1.97;0.26;765.69;100;-19.02;1.37;1.09;1.3968;319.96
2018-01-02 23:02:00+00;1;15407AMK-03;28;-18.31;1.1;282.81;0.84;1.6;0.35;765.46;100;-18.31;1.45;1.15;1.3924;320.42
2018-01-02 23:47:00+00;1;15407AMK-03;28;-19.2;1.23;281.35;0.7;1.72;0.25;765.29;100;-19.2;1.35;1.07;1.3971;319.85
2018-01-03 00:33:00+00;1;15407AMK-03;28;-19.47;1.21;250.16;0.58;1.91;0.46;765.14;100;-19.47;1.32;1.05;1.3983;319.68
2018-01-03 01:18:00+00;1;15407AMK-03;28;-20.06;1.21;236.15;0.77;2.07;0.66;765.03;100;-20.06;1.25;0.99;1.4014;319.3
2018-01-03 02:04:00+00;1;15407AMK-03;28;-20.56;0.77;223.34;0.39;1.1;0.53;765.12;100;-20.56;1.2;0.95;1.4043;318.99
2018-01-03 02:49:00+00;1;15407AMK-03;28;-19.27;1.49;224.75;0.65;1.89;0.56;765.03;100;-19.27;1.34;1.06;1.3969;319.81
2018-01-03 03:35:00+00;1;15407AMK-03;28;-20.92;1.58;264.74;0.88;2.31;0.61;764.9;100;-20.92;1.16;0.92;1.406;318.76
2018-01-03 04:20:00+00;1;15407AMK-03;28;-21.51;1.04;256.16;0.42;1.73;0.56;764.82;100;-21.51;1.1;0.88;1.4091;318.38
2018-01-03 05:06:00+00;1;15407AMK-03;28;-20.45;0.82;247.68;0.35;1.72;0.62;764.58;100;-20.45;1.21;0.96;1.4028;319.05
2018-01-03 05:51:00+00;1;15407AMK-03;28;-19.19;0.69;179.01;0.16;2.56;0.47;764.72;87.88;-20.69;1.18;0.94;1.396;319.85
2018-01-03 06:37:00+00;1;15407AMK-03;28;-17.42;0.63;223.88;0.05;1.93;0.62;764.57;71.78;-21.29;1.12;0.89;1.3861;320.96
2018-01-03 07:22:00+00;1;15407AMK-03;28;-16.92;1.03;180.76;0.51;1.71;0.43;764.32;76.79;-20.02;1.25;1;1.3829;321.28
2018-01-03 08:08:00+00;1;15407AMK-03;28;-15.89;0.44;155.28;0.21;0.66;0.17;764.07;58.29;-22.21;1.04;0.82;1.3771;321.91
2018-01-03 08:53:00+00;1;15407AMK-03;28;-15.93;0.49;212.55;0.21;0.76;-0.04;763.77;70.92;-19.99;1.26;1;1.3766;321.9
2018-01-03 09:39:00+00;1;15407AMK-03;28;-15.78;1.28;218.6;0.69;1.82;-0.01;763.66;90.39;-16.99;1.62;1.29;1.3754;322.01
2018-01-03 10:24:00+00;1;15407AMK-03;28;-16.23;1.05;214.34;0.54;1.47;-0.01;763.55;100;-16.23;1.73;1.38;1.3775;321.74
2018-01-03 11:10:00+00;1;15407AMK-03;28;-16.39;0.83;199.62;0.43;1.33;-0.04;763.3;100;-16.39;1.71;1.36;1.378;321.64
2018-01-03 11:55:00+00;1;15407AMK-03;28;-17.17;0.94;226.22;0.42;1.43;-0.09;763.06;100;-17.17;1.6;1.27;1.3818;321.14
2018-01-03 12:41:00+00;1;15407AMK-03;28;-18.25;0.76;223.46;0.34;1.92;-0.11;762.95;100;-18.25;1.46;1.16;1.3875;320.46
2018-01-03 13:26:00+00;1;15407AMK-03;28;-18.87;1.51;230.36;0.84;2.71;-0.01;762.67;100;-18.87;1.38;1.1;1.3905;320.06
2018-01-03 14:12:00+00;1;15407AMK-03;28;-20.63;1.42;240.11;0.47;3.38;0;762.67;100;-20.63;1.19;0.95;1.4003;318.94
2018-01-03 14:57:00+00;1;15407AMK-03;28;-20.99;1.51;243.5;0.48;2.88;0.11;762.32;100;-20.99;1.15;0.92;1.4016;318.71
2018-01-03 15:43:00+00;1;15407AMK-03;28;-21.21;1.54;229.11;0.7;2.43;-0.02;762.35;100;-21.21;1.13;0.9;1.4029;318.57
2018-01-03 16:28:00+00;1;15407AMK-03;28;-21.88;0.85;227.07;0.43;1.58;0.04;762.1;100;-21.88;1.07;0.85;1.4062;318.14
2018-01-03 17:14:00+00;1;15407AMK-03;28;-21.95;1.87;223.12;1.04;3.13;-0.09;761.82;100;-21.95;1.06;0.84;1.4061;318.1
2018-01-03 17:59:00+00;1;15407AMK-03;28;-22.4;0.98;219.5;0.61;1.56;-0.01;761.59;100;-22.4;1.02;0.81;1.4082;317.81
2018-01-03 18:45:00+00;1;15407AMK-03;28;-21.83;1.84;199.84;1.1;2.5;0.03;761.6;100;-21.83;1.07;0.85;1.405;318.18
2018-01-03 19:30:00+00;1;15407AMK-03;28;-21.26;1.65;203.61;1.22;2.01;0.03;761.25;100;-21.26;1.13;0.9;1.4012;318.54
2018-01-03 20:15:00+00;1;15407AMK-03;28;-22.54;0.95;240.86;0.59;1.7;0.02;760.84;100;-22.54;1.01;0.8;1.4076;317.72
2018-01-03 21:01:00+00;1;15407AMK-03;28;-23.12;2.07;181.16;1.53;2.65;0.08;760.67;100;-23.12;0.96;0.76;1.4106;317.35
